,city,state,area,time,number,score
273,Daly City   ,California,1102.0,5.117715454,2,430.6609110667449
71,Lincoln   ,Nebraska,760.0,5.611638587000001,3,406.2984393331886
21,Washington   ,District of Columbia,1034.0,29.20778008,11,389.4167913085711
284,El Cajon   ,California,930.0,9.709849221,4,383.1161447857049
105,Oxnard   ,California,930.0,9.984928555,4,372.56150402169806
104,Des Moines   ,Iowa,765.0,6.187833048,3,370.88912745339474
7,San Diego   ,California,930.0,10.0844787,4,368.8837183026625
257,San Buenaventura (Ventura)   ,California,930.0,10.23994713,4,363.2831256619975
165,Alexandria   ,Virginia,910.0,23.29160967,9,351.62876744190265
74,Chula Vista   ,California,930.0,10.58562093,4,351.4201032324327
212,Topeka   ,Kansas,710.0,4.282074003,2,331.61500688805353
294,South Bend   ,Indiana,615.0,17.29218209,9,320.0868445169143
108,Fayetteville   ,North Carolina,270.0,2.536262428,3,319.3675824148588
297,Roanoke   ,Virginia,738.0,18.65015033,8,316.56581290409366
2,Chicago   ,Illinois,664.0,25.66604802,12,310.44904123108546
288,Davenport   ,Iowa,673.0,18.05586558,8,298.1856492088484
214,Surprise   ,Arizona,777.0,2.661791724,1,291.9086392050109
147,Peoria   ,Arizona,777.0,2.680380048,1,289.88426494958003
87,Glendale   ,Arizona,777.0,2.7262193260000003,1,285.01008432804275
94,Scottsdale   ,Arizona,777.0,2.729141771,1,284.7048871760499
5,Phoenix   ,Arizona,777.0,2.832717422,1,274.2949204765402
141,Tempe   ,Arizona,777.0,2.839622327,1,273.62793728308367
37,Mesa   ,Arizona,777.0,2.840513842,1,273.54205725430154
173,Joliet   ,Illinois,671.0,29.69585775,12,271.14892816995666
85,Gilbert   ,Arizona,777.0,2.935230714,1,264.71513680133836
77,Chandler   ,Arizona,777.0,3.0140695,1,257.79100316034516
42,Raleigh   ,North Carolina,270.0,3.27794146,3,247.1063043328419
159,Cary   ,North Carolina,270.0,3.3200583760000004,3,243.97161382923824
14,Columbus   ,Ohio,541.0,13.70625328,6,236.82620871573442
80,Durham   ,North Carolina,399.0,7.201604188999999,4,221.61728944195383
182,Dayton   ,Ohio,344.0,5.000336142,3,206.38612499103465
66,Greensboro   ,North Carolina,471.0,14.23883293,6,198.4713223262744
64,Cincinnati   ,Ohio,329.0,5.185371151,3,190.34317337335762
202,Cedar Rapids   ,Iowa,389.0,12.80271734,6,182.3050480625545
86,Winston-Salem   ,North Carolina,407.0,14.75988572,6,165.44843546390277
16,Charlotte   ,North Carolina,370.0,14.48383785,6,153.27429255913688
262,High Point   ,North Carolina,297.0,7.965850268,4,149.13662195891027
13,Indianapolis   ,Indiana,329.0,6.955127662000001,3,141.9096885011282
29,Louisville/Jefferson County   ,Kentucky,185.0,2.74913114,2,134.58797749459126
