,city,state,area,time,number,lat,lon,score
185,Fullerton,California,930.0,6.246166335528959,4,33.8703596,-117.9242966,595.5653116120499
67,Toledo,Ohio,1217.0,14.572833387285304,7,41.6639383,-83.55521200000003,584.5808960824852
55,Anaheim,California,930.0,6.402451941002541,4,33.8352932,-117.91450359999999,581.0273992337842
184,Orange,California,930.0,6.4139005771857445,4,33.787794399999996,-117.8531119,579.9902813012174
82,Madison,Wisconsin,1073.0,22.333148105791306,12,43.07305170000001,-89.4012302,576.5420951406787
183,Pasadena,California,930.0,6.519231913359902,4,34.1477849,-118.1445155,570.6193688824877
56,Santa Ana,California,930.0,6.7535385311683775,4,33.7455731,-117.8678338,550.8223552485503
155,Palmdale,California,930.0,6.807167265571857,4,34.5794343,-118.11646129999998,546.4828253617902
47,Cleveland,Ohio,1045.0,15.418813812520305,8,41.499320000000004,-81.6943605,542.1947564611978
81,Irvine,California,930.0,6.88503054517941,4,33.6839473,-117.79469420000001,540.3026138503594
135,Garden Grove,California,930.0,6.906782385475321,4,33.773905299999996,-117.9414477,538.6010145365238
45,Minneapolis,Minnesota,696.0,10.43296037805626,8,44.977753,-93.2650108,533.6931990761917
115,Glendale,California,930.0,7.317092254701557,4,34.1425078,-118.255075,508.39867402378786
65,St. Paul,Minnesota,741.0,13.174121310965527,9,44.953702899999996,-93.0899578,506.2197199026119
1,Los Angeles,California,930.0,7.439936502677304,4,34.0522342,-118.24368490000002,500.0042673296119
153,Lancaster,California,930.0,7.5102090618890545,4,34.6867846,-118.1541632,495.32575849017746
111,Huntington Beach,California,930.0,7.898957169434342,4,33.660297,-117.99922649999999,470.9482429395671
35,Long Beach,California,930.0,8.273026556542026,4,33.770050399999995,-118.1937395,449.6540624613795
171,Torrance,California,930.0,8.854907628960989,4,33.835849200000006,-118.34062879999999,420.10601983394093
71,Lincoln,Nebraska,730.0,3.4891119601048035,2,40.8257625,-96.6851982,418.44458323319196
30,Milwaukee,Wisconsin,904.0,26.292759691403603,12,43.0389025,-87.9064736,412.58506628145034
132,Santa Clarita,California,930.0,9.351752982883584,4,34.3916641,-118.54258600000001,397.78638366610807
170,Rockford,Illinois,892.0,23.27794730433456,10,42.2711311,-89.09399520000001,383.19529997127444
136,Oceanside,California,930.0,9.970330415367012,4,33.1958696,-117.3794834,373.10699295045026
166,Escondido,California,930.0,10.67909979429106,4,33.1192068,-117.086421,348.34396827986143
61,Pittsburgh,Pennsylvania,863.0,25.879502294895506,10,40.44062479999999,-79.9958864,333.4685459427165
105,Oxnard,California,690.0,5.649254736673747,2,34.1975048,-119.17705159999998,244.28000936855207
117,Akron,Ohio,362.0,8.911045625806226,6,41.081444700000006,-81.51900529999998,243.7424395752085
108,Fayetteville,North Carolina,270.0,3.5507673987581114,3,35.0526641,-78.87835849999998,228.1197017532884
177,Naperville,Illinois,159.0,2.411828578231675,3,41.7508391,-88.15353520000001,197.77524999298703
18,El Paso,Texas,560.0,2.9756918477571626,1,31.7618778,-106.48502169999999,188.19152944955744
114,Aurora,Illinois,159.0,2.670578408280486,3,41.7605849,-88.32007150000003,178.61299204733984
42,Raleigh,North Carolina,270.0,4.589118044222036,3,35.7795897,-78.6381787,176.5045030863472
159,Cary,North Carolina,270.0,4.648081727053425,3,35.791540000000005,-78.78111690000001,174.26543842495775
182,Dayton,Ohio,264.0,3.392826080481438,2,39.758947799999994,-84.1916069,155.6224773906116
64,Cincinnati,Ohio,264.0,3.6610229928107376,2,39.103118200000004,-84.5120196,144.22198413854534
2,Chicago,Illinois,285.0,12.21292117214078,6,41.8781136,-87.62979820000001,140.01564211359414
80,Durham,North Carolina,270.0,5.879873850892356,3,35.99403289999999,-78.898619,137.758057492521
9,San Jose,California,240.0,1.7584038084147078,1,37.338208200000004,-121.88632859999998,136.48742049550748
96,Fremont,California,240.0,1.8361322319216664,1,37.548269700000006,-121.98857190000001,130.70954031933738
14,Columbus,Ohio,224.0,3.5203046023140283,2,39.9611755,-82.99879419999998,127.26171471227597
76,Fort Wayne,Indiana,354.0,11.263849595806404,4,41.079273,-85.13935129999999,125.71190585918201
173,Joliet,Illinois,159.0,3.8745942854873134,3,41.525031,-88.0817251,123.10966383929589
167,Sunnyvale,California,240.0,1.9897127600319533,1,37.368829999999996,-122.03634960000001,120.62042563176092
160,Hayward,California,240.0,1.9969985965894776,1,37.6688205,-122.08079640000001,120.18035486348252
66,Greensboro,North Carolina,297.0,11.323433489065245,4,36.072635399999996,-79.79197540000001,104.91517446075183
44,Oakland,California,240.0,2.366059738507441,1,37.8043637,-122.27111370000002,101.43446342204231
25,Baltimore,Maryland,223.0,4.438669808470442,2,39.2903848,-76.6121893,100.4805536895052
157,Salinas,California,240.0,2.4154272070784435,1,36.6777372,-121.6555013,99.36130523688588
29,Louisville/Jefferson County,Kentucky,185.0,3.8487835959463386,2,38.252664700000004,-85.7584557,96.1342696403341
12,San Francisco,California,240.0,2.6131242984665675,1,37.7749295,-122.4194155,91.84408110277674
21,Washington,District of Columbia,248.0,8.273433272569724,3,38.9071923,-77.03687070000001,89.92639155823082
165,Alexandria,Virginia,248.0,8.657588319653929,3,38.804835499999996,-77.0469214,85.93617212209277
13,Indianapolis,Indiana,185.0,5.450400034683862,2,39.768403,-86.158068,67.88492544501112
97,Richmond,Virginia,199.0,5.905663269704988,2,37.540724600000004,-77.4360481,67.39293823975198
60,Lexington-Fayette,Kentucky,120.0,2.4105981843754725,1,38.040583700000006,-84.50371640000002,49.78017521866221
59,St. Louis,Missouri,30.0,0.7943478194751603,1,38.6270025,-90.1994042,37.76683118463337
128,Knoxville,Tennessee,73.0,5.808194187079315,3,35.96063839999999,-83.9207392,37.705350913917265
169,Kansas City,Kansas,30.0,0.8114488837935674,1,39.114053000000006,-94.6274636,36.970905498998754
16,Charlotte,North Carolina,77.0,4.435140054140642,2,35.2270869,-80.8431267,34.72269153174222
36,Kansas City,Missouri,30.0,0.8877160991441336,1,39.0997265,-94.5785667,33.79458818976433
104,Des Moines,Iowa,35.0,1.114887303022745,1,41.600544799999994,-93.6091064,31.393307561316767
86,Winston-Salem,North Carolina,77.0,5.290348088258078,2,36.09985959999999,-80.24421600000001,29.109615743773617
127,Overland Park,Kansas,30.0,1.0327868767312278,1,38.9822282,-94.6707917,29.04761928709827
193,Olathe,Kansas,30.0,1.1858460701797218,1,38.8813958,-94.8191285,25.29839306669316
194,Columbia,South Carolina,50.0,3.0732287540684187,1,34.0007104,-81.0348144,16.269534096285128
156,McKinney,Texas,0.0,0.0,0,33.197246500000006,-96.6397822,1.0
147,Peoria,Arizona,0.0,0.0,0,33.5805955,-112.23737790000001,1.0
149,Pembroke Pines,Florida,0.0,0.0,0,26.007765,-80.2962555,1.0
11,Jacksonville,Florida,0.0,0.0,0,30.3321838,-81.65565099999998,1.0
148,Springfield,Missouri,0.0,0.0,0,37.20895720000001,-93.2922989,1.0
39,Virginia Beach,Virginia,0.0,0.0,0,36.8529263,-75.97798499999998,1.0
10,Austin,Texas,0.0,0.0,0,30.267153000000004,-97.7430608,1.0
162,Pasadena,Texas,0.0,0.0,0,29.6910625,-95.2091006,1.0
3,Houston,Texas,0.0,0.0,0,29.7604267,-95.36980279999999,1.0
191,Miramar,Florida,0.0,0.0,0,25.9860762,-80.30356019999998,1.0
5,Phoenix,Arizona,0.0,0.0,0,33.4483771,-112.07403729999999,1.0
188,Hampton,Virginia,0.0,0.0,0,37.0298687,-76.34522179999998,1.0
187,Killeen,Texas,0.0,0.0,0,31.117119399999996,-97.7277959,1.0
186,McAllen,Texas,0.0,0.0,0,26.203407100000003,-98.2300124,1.0
180,Savannah,Georgia,0.0,0.0,0,32.0835407,-81.09983419999998,1.0
179,Mesquite,Texas,0.0,0.0,0,32.76679550000001,-96.5991593,1.0
178,Frisco,Texas,0.0,0.0,0,33.1506744,-96.8236116,1.0
6,San Antonio,Texas,0.0,0.0,0,29.4241219,-98.4936282,1.0
175,Clarksville,Tennessee,0.0,0.0,0,36.5297706,-87.3594528,1.0
7,San Diego,California,0.0,0.0,0,32.715738,-117.1610838,1.0
146,Sioux Falls,South Dakota,0.0,0.0,0,43.5445959,-96.7311034,1.0
8,Dallas,Texas,0.0,0.0,0,32.7766642,-96.7969879,1.0
163,Macon-Bibb County,Georgia,0.0,0.0,0,32.8406946,-83.6324022,1.0
172,Hollywood,Florida,0.0,0.0,0,26.0112014,-80.1494901,1.0
119,Amarillo,Texas,0.0,0.0,0,35.2219971,-101.8312969,1.0
143,Cape Coral,Florida,0.0,0.0,0,26.5628537,-81.94953309999998,1.0
142,Jackson,Mississippi,0.0,0.0,0,32.298757300000005,-90.1848103,1.0
90,Garland,Texas,0.0,0.0,0,32.912624,-96.6388833,1.0
89,Hialeah,Florida,0.0,0.0,0,25.8575963,-80.2781057,1.0
87,Glendale,Arizona,0.0,0.0,0,33.538652299999995,-112.18598659999999,1.0
85,Gilbert,Arizona,0.0,0.0,0,33.3528264,-111.789027,1.0
84,Lubbock,Texas,0.0,0.0,0,33.5778631,-101.85516650000001,1.0
83,Norfolk,Virginia,0.0,0.0,0,36.8507689,-76.28587259999998,1.0
79,Laredo,Texas,0.0,0.0,0,27.530567100000003,-99.4803241,1.0
78,St. Petersburg,Florida,0.0,0.0,0,27.751828399999997,-82.6267345,1.0
77,Chandler,Arizona,0.0,0.0,0,33.3061605,-111.8412502,1.0
74,Chula Vista,California,0.0,0.0,0,32.6400541,-117.0841955,1.0
72,Orlando,Florida,0.0,0.0,0,28.5383355,-81.3792365,1.0
69,Plano,Texas,0.0,0.0,0,33.0198431,-96.6988856,1.0
32,Tucson,Arizona,0.0,0.0,0,32.2217429,-110.926479,1.0
57,Corpus Christi,Texas,0.0,0.0,0,27.800582799999997,-97.396381,1.0
54,Honolulu,Hawaii,0.0,0.0,0,21.3069444,-157.8583333,1.0
37,Mesa,Arizona,0.0,0.0,0,33.4151843,-111.83147240000001,1.0
52,Tampa,Florida,0.0,0.0,0,27.950575,-82.4571776,1.0
51,Bakersfield,California,0.0,0.0,0,35.3732921,-119.0187125,1.0
50,Arlington,Texas,0.0,0.0,0,32.735687,-97.1080656,1.0
49,New Orleans,Louisiana,0.0,0.0,0,29.95106579999999,-90.0715323,1.0
48,Wichita,Kansas,0.0,0.0,0,37.68717609999999,-97.330053,1.0
46,Tulsa,Oklahoma,0.0,0.0,0,36.1539816,-95.992775,1.0
43,Miami,Florida,0.0,0.0,0,25.7616798,-80.1917902,1.0
91,Chesapeake,Virginia,0.0,0.0,0,36.7682088,-76.2874927,1.0
92,Irving,Texas,0.0,0.0,0,32.814017699999994,-96.9488945,1.0
26,Oklahoma City,Oklahoma,0.0,0.0,0,35.4675602,-97.5164276,1.0
124,Huntsville,Alabama,0.0,0.0,0,34.730368799999994,-86.5861037,1.0
141,Tempe,Arizona,0.0,0.0,0,33.4255104,-111.9400054,1.0
140,Chattanooga,Tennessee,0.0,0.0,0,35.0456297,-85.3096801,1.0
139,Port St. Lucie,Florida,0.0,0.0,0,27.273049199999996,-80.3582261,1.0
138,Santa Rosa,California,0.0,0.0,0,38.440428999999995,-122.7140548,1.0
134,Fort Lauderdale,Florida,0.0,0.0,0,26.122438600000002,-80.13731740000001,1.0
131,Newport News,Virginia,0.0,0.0,0,37.087082099999996,-76.4730122,1.0
15,Fort Worth,Texas,0.0,0.0,0,32.7554883,-97.3307658,1.0
129,Brownsville,Texas,0.0,0.0,0,25.9017472,-97.4974838,1.0
126,Grand Prairie,Texas,0.0,0.0,0,32.7459645,-96.9977846,1.0
125,Tallahassee,Florida,0.0,0.0,0,30.4382559,-84.28073289999998,1.0
121,Mobile,Alabama,0.0,0.0,0,30.6953657,-88.0398912,1.0
94,Scottsdale,Arizona,0.0,0.0,0,33.494170399999994,-111.9260519,1.0
120,Augusta-Richmond County,Georgia,0.0,0.0,0,33.4734978,-82.0105148,1.0
38,Atlanta,Georgia,0.0,0.0,0,33.7489954,-84.3879824,1.0
118,Little Rock,Arkansas,0.0,0.0,0,34.7464809,-92.2895948,1.0
116,Shreveport,Louisiana,0.0,0.0,0,32.5251516,-93.75017890000001,1.0
113,Montgomery,Alabama,0.0,0.0,0,32.366805199999995,-86.2999689,1.0
110,Columbus,Georgia,0.0,0.0,0,32.4609764,-84.9877094,1.0
22,Memphis,Tennessee,0.0,0.0,0,35.1495343,-90.0489801,1.0
24,Nashville-Davidson,Tennessee,0.0,0.0,0,36.1626638,-86.78160159999999,1.0
100,Birmingham,Alabama,0.0,0.0,0,33.5206608,-86.80248999999998,1.0
95,Baton Rouge,Louisiana,0.0,0.0,0,30.458282899999997,-91.1403196,1.0
198,Waco,Texas,0.0,0.0,0,31.549333,-97.1466695,1.0
